Source Destination Port  
206.14.8.103 202.13.6.158 3389  
206.14.8.103 202.13.6.158 3389  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.100 202.13.6.3 443  
206.14.8.102 202.13.6.177 23  
206.14.8.102 202.13.6.177 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.104 202.13.6.214 23  
206.14.8.105 202.13.6.159 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.102 202.13.6.215 80  
206.14.8.103 202.13.6.194 25  
206.14.8.103 202.13.6.194 25  
206.14.8.103 202.13.6.194 25  
206.14.8.103 202.13.6.194 25  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.105 202.13.6.115 443  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.104 202.13.6.210 25  
206.14.8.102 202.13.6.138 3389  
206.14.8.102 202.13.6.138 3389  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.72 23  
206.14.8.100 202.13.6.39 25  
206.14.8.100 202.13.6.39 25  
206.14.8.100 202.13.6.39 25  
206.14.8.101 202.13.6.205 80  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.99 25  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.102 202.13.6.216 23  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.107 21  
206.14.8.105 202.13.6.180 21  
206.14.8.105 202.13.6.180 21  
206.14.8.104 202.13.6.158 21  
206.14.8.104 202.13.6.158 21  
206.14.8.104 202.13.6.158 21  
206.14.8.104 202.13.6.158 21  
206.14.8.104 202.13.6.158 21  
206.14.8.105 202.13.6.179 21  
206.14.8.105 202.13.6.179 21  
206.14.8.105 202.13.6.179 21  
206.14.8.105 202.13.6.179 21  
206.14.8.105 202.13.6.179 21  
206.14.8.105 202.13.6.179 21  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.101 202.13.6.91 3389  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.97 23  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.102 202.13.6.100 21  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.156 23  
206.14.8.105 202.13.6.58 23  
206.14.8.105 202.13.6.58 23  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.104 202.13.6.165 21  
206.14.8.102 202.13.6.71 443  
206.14.8.102 202.13.6.71 443  
206.14.8.102 202.13.6.71 443  
206.14.8.102 202.13.6.71 443  
206.14.8.102 202.13.6.87 23  
206.14.8.102 202.13.6.87 23  
206.14.8.102 202.13.6.87 23  
206.14.8.102 202.13.6.87 23  
206.14.8.102 202.13.6.87 23  
206.14.8.103 202.13.6.134 23  
206.14.8.103 202.13.6.134 23  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.100 202.13.6.223 3389  
206.14.8.103 202.13.6.142 25  
206.14.8.103 202.13.6.142 25  
206.14.8.103 202.13.6.142 25  
206.14.8.103 202.13.6.142 25  
206.14.8.103 202.13.6.142 25  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.100 202.13.6.123 3389  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.104 202.13.6.178 23  
206.14.8.101 202.13.6.212 21  
206.14.8.102 202.13.6.53 3389  
206.14.8.102 202.13.6.53 3389  
206.14.8.102 202.13.6.53 3389  
206.14.8.102 202.13.6.53 3389  
206.14.8.102 202.13.6.53 3389  
206.14.8.104 202.13.6.67 21  
206.14.8.104 202.13.6.67 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.102 202.13.6.220 21  
206.14.8.100 202.13.6.230 25  
206.14.8.100 202.13.6.230 25  
206.14.8.100 202.13.6.230 25  
206.14.8.100 202.13.6.230 25  
206.14.8.100 202.13.6.230 25  
206.14.8.100 202.13.6.230 25  
206.14.8.105 202.13.6.131 443  
206.14.8.105 202.13.6.131 443  
206.14.8.105 202.13.6.131 443  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.102 202.13.6.178 23  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.103 202.13.6.77 25  
206.14.8.102 202.13.6.190 443  
206.14.8.102 202.13.6.190 443  
206.14.8.102 202.13.6.190 443  
206.14.8.102 202.13.6.190 443  
206.14.8.102 202.13.6.190 443  
206.14.8.100 202.13.6.64 23  
206.14.8.100 202.13.6.64 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.101 202.13.6.52 23  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.102 202.13.6.163 80  
206.14.8.104 202.13.6.226 3389  
206.14.8.104 202.13.6.226 3389  
206.14.8.104 202.13.6.226 3389  
206.14.8.104 202.13.6.226 3389  
206.14.8.104 202.13.6.226 3389  
206.14.8.104 202.13.6.226 3389  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.103 202.13.6.12 80  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.104 202.13.6.32 23  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.102 202.13.6.40 443  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.101 202.13.6.139 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.104 202.13.6.134 3389  
206.14.8.100 202.13.6.115 3389  
206.14.8.100 202.13.6.115 3389  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.103 202.13.6.189 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.190 23  
206.14.8.100 202.13.6.21 23  
206.14.8.100 202.13.6.21 23  
206.14.8.100 202.13.6.21 23  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.103 202.13.6.21 21  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.101 202.13.6.101 443  
206.14.8.102 202.13.6.200 21  
206.14.8.102 202.13.6.200 21  
206.14.8.102 202.13.6.200 21  
206.14.8.102 202.13.6.200 21  
206.14.8.102 202.13.6.200 21  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.103 202.13.6.23 80  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389  
206.14.8.102 202.13.6.133 3389
  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21  
206.14.8.101 202.13.6.119 21
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53  
206.14.8.104 202.13.6.60 53   
206.14.8.101 202.13.6.84 23  
206.14.8.101 202.13.6.84 23  
206.14.8.101 202.13.6.84 23  
206.14.8.101 202.13.6.84 23  
206.14.8.101 202.13.6.84 23  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.105 202.13.6.54 3389  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.77 21  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.103 202.13.6.234 443  
206.14.8.101 202.13.6.219 3389  
206.14.8.101 202.13.6.219 3389  
206.14.8.101 202.13.6.219 3389  
206.14.8.103 202.13.6.43 3389  
206.14.8.102 202.13.6.30 3389  
206.14.8.105 202.13.6.138 23  
206.14.8.105 202.13.6.138 23  
206.14.8.105 202.13.6.138 23  
206.14.8.105 202.13.6.138 23  
206.14.8.105 202.13.6.138 23  
206.14.8.105 202.13.6.138 23  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
206.14.8.104 202.13.6.31 80  
